iso,state,gain_ha,lat,lon
MYS,Johor,102271.2408,1.85,103.45
MYS,Kedah,44640.65656,6.2,100.4
MYS,Kelantan,23027.94554,5.55,102
MYS,Kuala Lumpur,862.6188855,3.34,101.08
MYS,Labuan,188.3072391,5.5,115
MYS,Melaka,12985.83085,2.22,102.55
MYS,Negeri Sembilan,41198.43481,2.7,102.15
MYS,Pahang,117174.1663,3.75,102.4
MYS,Perak,67955.64233,4.59,101.05
MYS,Perlis,4735.261571,6.85,100.2
MYS,Pulau Pinang,2736.857792,5.55,100.33
MYS,Putrajaya,889.748831,3.04,100.58
MYS,Sabah,217128.1049,5.4,117
MYS,Sarawak,302061.5222,2.5,113
MYS,Selangor,39703.067,3.65,100.55
MYS,Terengganu,29637.99414,5.15,103
