Entity,Code,Year,driver_raw,loss_ha,driver
Malaysia,MYS,2001,Tree cover loss driven by agriculture,267004.94,Agriculture (commodity)
Malaysia,MYS,2001,Tree cover loss driven by logging,49884.598,Logging
Malaysia,MYS,2001,Tree cover loss driven by the mining or energy industry,2242.4277,Mining & energy
Malaysia,MYS,2001,Tree cover loss driven by non-fire natural disturbances,368.29016,Natural (non-fire)
Malaysia,MYS,2001,Tree cover loss driven by settlements and infrastructure,5756.636,Settlements & infrastructure
Malaysia,MYS,2001,Tree cover loss driven by shifting cultivation,6225.8315,Shifting cultivation
Malaysia,MYS,2001,Tree cover loss driven by wildfire,964.43115,Wildfire
Malaysia,MYS,2002,Tree cover loss driven by agriculture,259852.22,Agriculture (commodity)
Malaysia,MYS,2002,Tree cover loss driven by logging,36866.31,Logging
Malaysia,MYS,2002,Tree cover loss driven by the mining or energy industry,2128.9282,Mining & energy
Malaysia,MYS,2002,Tree cover loss driven by non-fire natural disturbances,510.32047,Natural (non-fire)
Malaysia,MYS,2002,Tree cover loss driven by settlements and infrastructure,6348.2417,Settlements & infrastructure
Malaysia,MYS,2002,Tree cover loss driven by shifting cultivation,6073.514,Shifting cultivation
Malaysia,MYS,2002,Tree cover loss driven by wildfire,803.91266,Wildfire
Malaysia,MYS,2003,Tree cover loss driven by agriculture,138031.72,Agriculture (commodity)
Malaysia,MYS,2003,Tree cover loss driven by logging,34998.465,Logging
Malaysia,MYS,2003,Tree cover loss driven by the mining or energy industry,1513.5577,Mining & energy
Malaysia,MYS,2003,Tree cover loss driven by non-fire natural disturbances,235.30235,Natural (non-fire)
Malaysia,MYS,2003,Tree cover loss driven by settlements and infrastructure,3893.4932,Settlements & infrastructure
Malaysia,MYS,2003,Tree cover loss driven by shifting cultivation,4443.692,Shifting cultivation
Malaysia,MYS,2003,Tree cover loss driven by wildfire,790.27734,Wildfire
Malaysia,MYS,2004,Tree cover loss driven by agriculture,264879.56,Agriculture (commodity)
Malaysia,MYS,2004,Tree cover loss driven by logging,66820.31,Logging
Malaysia,MYS,2004,Tree cover loss driven by the mining or energy industry,2741.8513,Mining & energy
Malaysia,MYS,2004,Tree cover loss driven by non-fire natural disturbances,304.79462,Natural (non-fire)
Malaysia,MYS,2004,Tree cover loss driven by settlements and infrastructure,8908.727,Settlements & infrastructure
Malaysia,MYS,2004,Tree cover loss driven by shifting cultivation,6446.017,Shifting cultivation
Malaysia,MYS,2004,Tree cover loss driven by wildfire,1667.2576,Wildfire
Malaysia,MYS,2005,Tree cover loss driven by agriculture,301840.5,Agriculture (commodity)
Malaysia,MYS,2005,Tree cover loss driven by logging,54901.25,Logging
